DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2019,881952,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2020,892006,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2021,900356,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CY,2022,912703,p
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,1994,10333587,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,1995,10327253,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,1996,10315241,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,1997,10304131,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,1998,10294373,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,1999,10283860,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2000,10255063,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2001,10216605,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2002,10196916,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2003,10193998,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2004,10197101,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2005,10211216,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2006,10238905,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2007,10298828,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2008,10384603,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2009,10443936,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2010,10474410,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2011,10496088,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2012,10510785,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2013,10514272,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2014,10525347,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2015,10546059,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2016,10566332,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2017,10594438,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2018,10629928,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2019,10671870,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2020,10697858,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2021,10505772,b
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,CZ,2022,10672118,b
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,1994,81438348,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,1995,81678051,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,1996,81914831,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,1997,82034771,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,1998,82047195,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,1999,82100243,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2000,82211508,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2001,82349925,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2002,82488495,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2003,82534176,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2004,82516260,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2005,82469422,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2006,82376451,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2007,82266372,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2008,82110097,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2009,81902307,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2010,81776930,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2011,80274983,b
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2012,80425823,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2013,80645605,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2014,80982500,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2015,81686611,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2016,82348669,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2017,82657002,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2018,82905782,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2019,83092962,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2020,83160871,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2021,83196078,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DE,2022,83797985,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,1994,5206180,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,1995,5233373,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,1996,5263074,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,1997,5284991,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,1998,5304219,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,1999,5321799,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2000,5339616,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2001,5358783,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2002,5375931,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2003,5390574,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2004,5404523,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2005,5419432,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2006,5437272,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2007,5461438,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2008,5493621,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2009,5523095,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2010,5547683,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2011,5570572,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2012,5591572,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2013,5614932,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2014,5643475,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2015,5683483,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2016,5728010,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2017,5764980,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2018,5793636,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2019,5814422,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2020,5831404,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2021,5856733,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,DK,2022,5903037,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,1994,1462514,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,1995,1436634,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,1996,1415594,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,1997,1399535,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,1998,1386156,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,1999,1390244,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2000,1396985,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2001,1388115,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2002,1379350,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2003,1370720,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2004,1362550,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2005,1354775,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2006,1346810,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2007,1340680,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2008,1337090,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2009,1334515,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2010,1331475,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2011,1327439,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2012,1322696,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2013,1317997,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2014,1314545,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2015,1315407,b
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2016,1315790,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2017,1317384,
ESTAT:DEMO_GIND(1.0),27/11/23 23:00:00,A,AVG,EE,2018,1321977,
