DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,1994,1325.1,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,1995,1335.0,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,1996,1326.0,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,1997,1297.5,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,1998,1325.3,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,1999,1315.8,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,2000,1329.4,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,2001,1283.3,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,2002,1283.2,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,2003,1287.5,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,2004,1264.9,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,2005,1215.6,
ESTAT:HLTH_CD_ASDR(1.0),17/04/20 23:00:00,A,RT,T,TOTAL,A-R_V-Y,EL,2006,1174.7,
